frequency;signal;group;sensor;time;hash
0.4532;0.573800983763;C;1;5;C-1-5
0.45339999999999997;0.574017558098;C;1;5;C-1-5
0.4536;0.574936597058;C;1;5;C-1-5
0.4538;0.574669154604;C;1;5;C-1-5
0.45399999999999996;0.574832768251;C;1;5;C-1-5
0.4542;0.575787630317;C;1;5;C-1-5
0.45439999999999997;0.575737445008;C;1;5;C-1-5
0.4546;0.576092637269;C;1;5;C-1-5
0.4548;0.576350394156;C;1;5;C-1-5
0.45499999999999996;0.57627430581;C;1;5;C-1-5
0.4552;0.576788395341;C;1;5;C-1-5
0.45539999999999997;0.577556245627;C;1;5;C-1-5
0.4556;0.577275333034;C;1;5;C-1-5
0.4558;0.577345430367;C;1;5;C-1-5
0.45599999999999996;0.577283975424;C;1;5;C-1-5
0.4562;0.578413279809;C;1;5;C-1-5
0.4564;0.577674093542;C;1;5;C-1-5
0.4566;0.578275334595;C;1;5;C-1-5
0.4568;0.578463004597;C;1;5;C-1-5
0.45699999999999996;0.578722021262;C;1;5;C-1-5
0.4572;0.579034847792;C;1;5;C-1-5
0.4574;0.579023520318;C;1;5;C-1-5
0.4576;0.579430346621;C;1;5;C-1-5
0.4578;0.579232826797;C;1;5;C-1-5
0.45799999999999996;0.579822072698;C;1;5;C-1-5
0.4582;0.580556722324;C;1;5;C-1-5
0.4584;0.579988480186;C;1;5;C-1-5
0.45859999999999995;0.580497362952;C;1;5;C-1-5
0.4588;0.58061478326;C;1;5;C-1-5
0.45899999999999996;0.580969187879;C;1;5;C-1-5
0.4592;0.581975781226;C;1;5;C-1-5
0.4594;0.581587137347;C;1;5;C-1-5
0.45959999999999995;0.581293123074;C;1;5;C-1-5
0.4598;0.581770835129;C;1;5;C-1-5
0.45999999999999996;0.582134898746;C;1;5;C-1-5
0.42;0.557419800417;C;1;10;C-1-10
0.42019999999999996;0.558776135721;C;1;10;C-1-10
0.4204;0.560303078867;C;1;10;C-1-10
0.4206;0.560714035066;C;1;10;C-1-10
0.4208;0.560897021318;C;1;10;C-1-10
0.421;0.560817401398;C;1;10;C-1-10
0.42119999999999996;0.561293948326;C;1;10;C-1-10
0.4214;0.561027175538;C;1;10;C-1-10
0.4216;0.561496675233;C;1;10;C-1-10
0.4218;0.561750447686;C;1;10;C-1-10
0.422;0.561737741499;C;1;10;C-1-10
0.42219999999999996;0.562110866747;C;1;10;C-1-10
